Season,G,Team,Name,Date,Opp,OPts,DPts,Opp_Name,ORtg,DRtg,Pace,Location,Win
2022,79,CLE,Cavaliers,2022-04-03,PHI,108,112,76ers,113.7,117.9,95.0,Home,0
2022,80,CLE,Cavaliers,2022-04-05,ORL,115,120,Magic,118.8,124.0,96.8,Away,0
2022,81,CLE,Cavaliers,2022-04-08,BRK,107,118,Nets,119.4,131.7,89.6,Away,0
2022,82,CLE,Cavaliers,2022-04-10,MIL,133,115,Bucks,130.5,112.9,101.9,Home,1
2022,1,DAL,Mavericks,2021-10-21,ATL,87,113,Hawks,84.6,109.9,102.9,Away,0
2022,2,DAL,Mavericks,2021-10-23,TOR,103,95,Raptors,110.5,101.9,93.2,Away,1
2022,3,DAL,Mavericks,2021-10-26,HOU,116,106,Rockets,114.0,104.2,101.7,Home,1
2022,4,DAL,Mavericks,2021-10-28,SAS,104,99,Spurs,108.4,103.2,95.9,Home,1
2022,5,DAL,Mavericks,2021-10-29,DEN,75,106,Nuggets,75.7,107.0,99.0,Away,0
2022,6,DAL,Mavericks,2021-10-31,SAC,105,99,Kings,109.5,103.2,95.9,Home,1
2022,7,DAL,Mavericks,2021-11-02,MIA,110,125,Heat,119.1,135.3,92.4,Home,0
2022,8,DAL,Mavericks,2021-11-03,SAS,109,108,Spurs,102.7,101.7,106.2,Away,1
2022,9,DAL,Mavericks,2021-11-06,BOS,107,104,Celtics,115.7,112.5,92.4,Home,1
2022,10,DAL,Mavericks,2021-11-08,NOP,108,92,Pelicans,116.3,99.1,92.9,Home,1
2022,11,DAL,Mavericks,2021-11-10,CHI,107,117,Bulls,110.8,121.2,96.5,Away,0
2022,12,DAL,Mavericks,2021-11-12,SAS,123,109,Spurs,121.7,107.8,101.1,Away,1
2022,13,DAL,Mavericks,2021-11-15,DEN,111,101,Nuggets,121.6,110.6,91.3,Home,1
2022,14,DAL,Mavericks,2021-11-17,PHO,98,105,Suns,102.8,110.1,95.3,Away,0
2022,15,DAL,Mavericks,2021-11-19,PHO,104,112,Suns,106.6,114.8,97.6,Away,0
2022,16,DAL,Mavericks,2021-11-21,LAC,91,97,Clippers,102.3,109.1,88.9,Away,0
2022,17,DAL,Mavericks,2021-11-23,LAC,112,104,Clippers,112.3,104.3,90.3,Away,1
2022,18,DAL,Mavericks,2021-11-27,WAS,114,120,Wizards,120.2,126.5,94.8,Home,0
2022,19,DAL,Mavericks,2021-11-29,CLE,96,114,Cavaliers,97.1,115.3,98.8,Home,0
2022,20,DAL,Mavericks,2021-12-01,NOP,139,107,Pelicans,152.3,117.2,91.3,Away,1
2022,21,DAL,Mavericks,2021-12-03,NOP,91,107,Pelicans,93.1,109.5,97.8,Home,0
2022,22,DAL,Mavericks,2021-12-04,MEM,90,97,Grizzlies,93.3,100.6,96.5,Home,0
2022,23,DAL,Mavericks,2021-12-07,BRK,99,102,Nets,108.6,111.8,91.2,Home,0
2022,24,DAL,Mavericks,2021-12-08,MEM,104,96,Grizzlies,108.5,100.1,95.9,Away,1
2022,25,DAL,Mavericks,2021-12-10,IND,93,106,Pacers,107.3,122.3,86.7,Away,0
2022,26,DAL,Mavericks,2021-12-12,OKC,103,84,Thunder,110.1,89.8,93.5,Away,1
2022,27,DAL,Mavericks,2021-12-13,CHO,120,96,Hornets,144.4,115.5,83.1,Home,1
2022,28,DAL,Mavericks,2021-12-15,LAL,104,107,Lakers,98.0,100.8,96.1,Home,0
2022,29,DAL,Mavericks,2021-12-19,MIN,105,111,Timberwolves,114.4,120.9,91.8,Away,0
2022,30,DAL,Mavericks,2021-12-21,MIN,114,102,Timberwolves,121.4,108.6,93.9,Home,1
2022,31,DAL,Mavericks,2021-12-23,MIL,95,102,Bucks,99.7,107.0,95.3,Home,0
2022,32,DAL,Mavericks,2021-12-25,UTA,116,120,Jazz,110.3,114.1,105.2,Away,0
2022,33,DAL,Mavericks,2021-12-27,POR,132,117,Trail Blazers,132.9,117.8,99.3,Away,1
2022,34,DAL,Mavericks,2021-12-29,SAC,94,95,Kings,107.1,108.2,87.8,Away,0
2022,35,DAL,Mavericks,2021-12-31,SAC,112,96,Kings,121.3,104.0,92.3,Away,1
2022,36,DAL,Mavericks,2022-01-02,OKC,95,86,Thunder,101.6,92.0,93.5,Away,1
2022,37,DAL,Mavericks,2022-01-03,DEN,103,89,Nuggets,112.6,97.3,91.5,Home,1
2022,38,DAL,Mavericks,2022-01-05,GSW,99,82,Warriors,103.4,85.7,95.7,Home,1
2022,39,DAL,Mavericks,2022-01-07,HOU,130,106,Rockets,124.7,101.7,104.2,Away,1
2022,40,DAL,Mavericks,2022-01-09,CHI,113,99,Bulls,122.0,106.9,92.6,Home,1
2022,41,DAL,Mavericks,2022-01-12,NYK,85,108,Knicks,91.4,116.2,93.0,Away,0
2022,42,DAL,Mavericks,2022-01-14,MEM,112,85,Grizzlies,113.1,85.8,99.0,Away,1
2022,43,DAL,Mavericks,2022-01-15,ORL,108,92,Magic,118.8,101.2,90.9,Home,1
2022,44,DAL,Mavericks,2022-01-17,OKC,104,102,Thunder,105.8,103.7,98.3,Home,1
